# Time (ms);Voltage(0, T);Voltage(5, T);Voltage(10, T);Voltage(15, T);Voltage(20, T);Voltage(25, T);Voltage(30, T);Voltage(35, T);Voltage(40, T);Voltage(45, T);Voltage(50, T);Voltage(55, T);Voltage(60, T);Voltage(65, T);Voltage(70, T);Voltage(75, T);Voltage(80, T);Voltage(85, T);Voltage(90, T);Voltage(95, T);Voltage(100, T)
0.053000;-65.002;-5.53673368314037;-0.4753872530322463;-0.04459412070382858;-0.007927449063410282;-0.004806589554064987;-0.004540959653927193;-0.004518350739478896;-0.004516426396528458;-0.004516262607327094;-0.004516248666434243;-0.0045162474789061735;-0.004516247366570124;-0.004516247224655635;-0.004516245656913078;-0.004516227238376643;-0.004516010749652437;-0.004513466165108262;-0.0044835573992816815;-0.004132013072989357;0.0
0.054000;-65.002;-5.536735594926182;-0.4753894812696761;-0.044596388957334906;-0.007929721836007451;-0.004808862806023103;-0.004543232954745962;-0.0045206240451422745;-0.004518699702662544;-0.004518535913506206;-0.00451852197261757;-0.004518520785089413;-0.004518520672747691;-0.004518520530766077;-0.004518518962234575;-0.004518500534425287;-0.00451828393671306;-0.004515738071183415;-0.004485814249356435;-0.004134092963103121;0.0
0.055000;-65.002;-5.536737507468594;-0.47539171037297123;-0.04459865808982949;-0.007931995489035558;-0.004811136938562708;-0.004545507136161402;-0.004522898231403816;-0.004520973889394937;-0.004520810100283639;-0.004520796159399218;-0.004520794971870973;-0.0045207948595235746;-0.0045207947174748155;-0.004520793148154059;-0.004520774711068326;-0.004520558004325835;-0.0045180108573143075;-0.004488071973653122;-0.004136173658881422;0.0
0.056000;-65.002;-5.536739420767705;-0.4753939403421724;-0.0446009281013427;-0.007934270022523572;-0.004813411951712606;-0.004547782198202296;-0.004525173298292302;-0.004523248956754418;-0.004523085167688176;-0.004523071226807972;-0.004523070039279638;-0.004523069926926562;-0.00452306978481063;-0.004523068214700315;-0.00452304976833454;-0.0045228329525195425;-0.004520284523529686;-0.0044903305722002185;-0.004138255160349983;0.0
0.057000;-65.002;-5.53674133482361;-0.4753961711773129;-0.04460319899189644;-0.007936545436492004;-0.004815687845493147;-0.004550058140888973;-0.004527449245828063;-0.004525524904761322;-0.004525361115740146;-0.0045253471748641595;-0.004525345987335738;-0.004525345874976981;-0.004525345732793847;-0.004525344161893671;-0.0045253257062442594;-0.004525108781314508;-0.004522559069849855;-0.004492590045017802;-0.004140337467526809;0.0
0.058000;-65.002;-5.536743249636391;-0.475398402878417;-0.04460547076150426;-0.007938821730952967;-0.004817964619916283;-0.004552334964233376;-0.004529726074023035;-0.004527801733427578;-0.004527637944451484;-0.004527624003579717;-0.004527622816051208;-0.004527622703686767;-0.004527622561436411;-0.004527620989746061;-0.00452760252480942;-0.004527385490722666;-0.004524834496286735;-0.00449485039211762;-0.004142420580422222;0.0
0.059000;-65.002;-5.536745165206124;-0.47540063544550054;-0.04460774341017134;-0.00794109890591025;-0.004820242274985638;-0.004554612668239108;-0.004532003782880825;-0.004530079442756794;-0.004529915653825795;-0.004529901712958248;-0.00452990052542965;-0.004529900413059526;-0.004529900270741916;-0.004529898698261091;-0.004529880224033624;-0.004529663080747619;-0.004527110802843909;-0.0044971116135031535;-0.004144504499038933;0.0
0.060000;-65.002;-5.536747081532876;-0.4754028688785709;-0.04461001693789459;-0.007943376961359352;-0.004822520810696554;-0.004556891252901488;-0.004534282372396748;-0.004532358032744287;-0.0045321942438583986;-0.004532180302995073;-0.004532179115466388;-0.004532179003090575;-0.004532178860705689;-0.004532177287434081;-0.004532158803912192;-0.004531941551384686;-0.004529387989516688;-0.00449937370916965;-0.004146589223372068;0.0
0.061000;-65.002;-5.536748998616703;-0.4754051031776276;-0.044612291344662616;-0.007945655897287551;-0.004824800227036148;-0.004559170718207626;-0.004536561842557909;-0.004534637503377163;-0.004534473714536397;-0.004534459773677295;-0.00453445858614852;-0.004534458473767018;-0.004534458331314828;-0.004534456757252133;-0.004534438264432228;-0.004534220902620966;-0.004531666056292173;-0.004501636679104212;-0.0041486747534092505;0.0
0.062000;-65.002;-5.536750916457662;-0.47540733834266136;-0.044614566630455946;-0.007947935713673953;-0.004827080523983377;-0.004561451064136454;-0.004538842193343245;-0.004536917854634354;-0.004536754065838724;-0.004536740124983845;-0.0045367389374549845;-0.0045367388250677895;-0.00453673868254827;-0.004536737107694182;-0.0045367186055726635;-0.004536501134435397;-0.004533945003149295;-0.004503900523285823;-0.004150761089130627;0.0
